,name,id,nametype,recclass,mass,fall,year,reclat,reclong,GeoLocation
1649,Allan Hills 09005,55797,Valid,L5,122.3,Found,2009.0,0.0,0.0,"(0.000000, 0.000000)"
1650,Allan Hills 09006,55798,Valid,H5,104.3,Found,2009.0,0.0,0.0,"(0.000000, 0.000000)"
1651,Allan Hills 09008,55799,Valid,H5,31.3,Found,2009.0,0.0,0.0,"(0.000000, 0.000000)"
1652,Allan Hills 09009,55800,Valid,L6,24.8,Found,2009.0,0.0,0.0,"(0.000000, 0.000000)"
1653,Allan Hills 09010,55801,Valid,L3.4,2.6,Found,2009.0,0.0,0.0,"(0.000000, 0.000000)"
1654,Allan Hills 09011,55802,Valid,LL6,14.2,Found,2009.0,0.0,0.0,"(0.000000, 0.000000)"
1655,Allan Hills 09012,55794,Valid,L6,18.1,Found,2009.0,0.0,0.0,"(0.000000, 0.000000)"
1656,Allan Hills 09013,55795,Valid,L6,25.5,Found,2009.0,0.0,0.0,"(0.000000, 0.000000)"
1657,Allan Hills 09014,55796,Valid,L5,30.2,Found,2009.0,0.0,0.0,"(0.000000, 0.000000)"
1658,Allan Hills 10910,56771,Valid,L5,444.1,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)"
1659,Allan Hills 10911,56772,Valid,L6,218.9,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)"
1660,Allan Hills 10912,56773,Valid,H6,60.3,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)"
3409,Apache Junction,54566,Valid,"Iron, IIIAB",25000.0,Found,,33.45,-111.51666999999999,"(33.450000, -111.516670)"
3413,Arabella,2321,Valid,Iron,1000.0,Found,1955.0,,,
3414,Arabian Peninsula 001,44870,Valid,Diogenite,145.0,Found,2006.0,,,
3415,Arabian Peninsula 002,44871,Valid,Eucrite,54.0,Found,2006.0,,,
3416,Arabian Peninsula 003,44872,Valid,Diogenite,56.0,Found,2006.0,,,
3417,Arabian Peninsula 004,44873,Valid,Diogenite,31.0,Found,2006.0,,,
3418,Arabian Peninsula 005,44874,Valid,Eucrite-mmict,146.0,Found,2005.0,,,
3419,Arabian Peninsula 006,44875,Valid,Eucrite-mmict,67.0,Found,2005.0,,,
3440,Asarco Mexicana,2344,Valid,"Iron, IIIAB",,Found,,,,
3452,as-Sanam,2352,Valid,Stone-uncl,,Found,1954.0,22.75,51.16667,"(22.750000, 51.166670)"
4973,Aus,4902,Valid,L,30.2,Found,,-26.66667,16.25,"(-26.666670, 16.250000)"
5044,Benares (b),5012,Valid,Iron,,Found,,25.33333,83.0,"(25.333330, 83.000000)"
5045,Bench Crater,5013,Valid,C1-ung,,Found,1969.0,,,
5123,Blumenau,5089,Valid,"Iron, IVA",,Found,1986.0,-26.92383,-49.05883,"(-26.923830, -49.058830)"
5130,Bolivia,5100,Valid,"Iron, IAB-MG",21250.0,Found,1896.0,,,
5182,Brunflo,5157,Relict,Relict H,,Found,1980.0,63.11666999999999,14.28333,"(63.116670, 14.283330)"
5191,Buckley Island 10930,56774,Valid,L6,374.5,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)"
5192,Buckley Island 10932,56775,Valid,L6,879.9,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)"
5193,Buckley Island 10933,56776,Valid,CR2,486.0,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)"
5194,Buckley Island 10934,56777,Valid,L6,472.2,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)"
5195,Buckley Island 10935,56778,Valid,L6,362.4,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)"
5196,Buckley Island 10936,56779,Valid,L5,335.2,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)"
5197,Buckley Island 10937,56780,Valid,L6,234.6,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)"
5198,Buckley Island 10938,56781,Valid,L5,288.0,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)"
5199,Buckley Island 10939,56782,Valid,L6,143.9,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)"
5200,Buckley Island 10940,56783,Valid,H6,161.7,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)"
5201,Buckley Island 10941,56784,Valid,L6,118.8,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)"
5202,Buckley Island 10942,56785,Valid,L6,95.4,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)"
5203,Buckley Island 10943,53893,Valid,CO3,27.8,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)"
5204,Buckley Island 10944,53894,Valid,CK4,39.7,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)"
5205,Buckley Island 10945,56786,Valid,H6,80.3,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)"
5206,Buckley Island 10946,56787,Valid,L5,28.3,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)"
5207,Buckley Island 10947,56788,Valid,H5,47.2,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)"
5208,Buckley Island 10948,56789,Valid,L6,41.6,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)"
5209,Buckley Island 10949,56790,Valid,L6,22.6,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)"
5210,Buckley Island 10950,56791,Valid,H6,10.3,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)"
5211,Buckley Island 10951,56792,Valid,L6,26.1,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)"
5212,Buckley Island 10952,56793,Valid,L6,5.8,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)"
5213,Buckley Island 10953,56794,Valid,H4,7.9,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)"
5214,Buckley Island 10954,56795,Valid,L6,22.7,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)"
5215,Buckley Island 10955,56796,Valid,L6,15.1,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)"
5216,Buckley Island 10956,56797,Valid,H5,20.4,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)"
5217,Buckley Island 10957,56798,Valid,L6,4.9,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)"
5218,Buckley Island 10958,53895,Valid,LL6,0.1,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)"
5219,Buckley Island 10959,53896,Valid,H6,0.3,Found,2010.0,0.0,0.0,"(0.000000, 0.000000)"
5242,Cacilandia,5191,Valid,H6,,Found,,,,
5268,California,5199,Valid,"Iron, IAB-sLL",,Found,,,,
5325,Camp Wood,51830,Valid,"Iron, IIIAB",148000.0,Found,,29.7725,-99.875,"(29.772500, -99.875000)"
5432,Cimarron,5365,Valid,CM2,,Found,1948.0,37.85,-100.35,"(37.850000, -100.350000)"
5453,Cochabamba,5389,Valid,CM2,85.0,Found,,,,
5468,Colorado Springs,5408,Valid,Iron,,Found,1950.0,38.83333,-104.83333,"(38.833330, -104.833330)"
5479,Cook,5420,Valid,Unknown,,Found,,,,
5579,Cratheús (1950),5467,Valid,"Iron, IIC",367.0,Found,1909.0,,,
5583,Crosbyton,5475,Valid,H,,Found,1963.0,33.66667,-101.26666999999999,"(33.666670, -101.266670)"
5612,Cumulus Hills 04001,32489,Valid,L5,406.2,Found,2003.0,,,
5613,Cumulus Hills 04002,32490,Valid,LL6,219.7,Found,2003.0,,,
5614,Cumulus Hills 04003,32491,Valid,LL6,461.3,Found,2003.0,,,
5615,Cumulus Hills 04004,45987,Valid,LL6,493.1,Found,2004.0,,,
5616,Cumulus Hills 04005,45988,Valid,H5,491.4,Found,2004.0,,,
5617,Cumulus Hills 04006,32492,Valid,LL5,185.4,Found,2003.0,,,
5618,Cumulus Hills 04007,32493,Valid,L5,100.5,Found,2003.0,,,
5619,Cumulus Hills 04008,32494,Valid,LL5,167.4,Found,2003.0,,,
5620,Cumulus Hills 04009,32495,Valid,LL5,183.3,Found,2003.0,,,
5621,Cumulus Hills 04010,32496,Valid,LL5,184.5,Found,2003.0,,,
5622,Cumulus Hills 04011,32497,Valid,LL5,118.7,Found,2003.0,,,
5623,Cumulus Hills 04012,32498,Valid,LL5,145.9,Found,2003.0,,,
5624,Cumulus Hills 04013,32499,Valid,L5,203.6,Found,2003.0,,,
5625,Cumulus Hills 04014,32500,Valid,LL5,138.2,Found,2003.0,,,
5626,Cumulus Hills 04015,32501,Valid,LL5,121.5,Found,2003.0,,,
5627,Cumulus Hills 04016,34564,Valid,L3,162.1,Found,2003.0,,,
5628,Cumulus Hills 04017,32502,Valid,LL5,56.5,Found,2003.0,,,
5629,Cumulus Hills 04018,32503,Valid,LL5,167.4,Found,2003.0,,,
5630,Cumulus Hills 04019,32504,Valid,H6,134.9,Found,2003.0,,,
5631,Cumulus Hills 04020,45989,Valid,LL6,97.8,Found,2004.0,,,
5632,Cumulus Hills 04021,32505,Valid,Mesosiderite,61.3,Found,2003.0,,,
5633,Cumulus Hills 04022,45990,Valid,L5,197.3,Found,2004.0,,,
5634,Cumulus Hills 04023,45991,Valid,L5,22.7,Found,2004.0,,,
5635,Cumulus Hills 04024,45992,Valid,LL5,152.6,Found,2004.0,,,
5636,Cumulus Hills 04025,45993,Valid,L5,12.8,Found,2004.0,,,
5637,Cumulus Hills 04026,45994,Valid,LL6,114.0,Found,2004.0,,,
5638,Cumulus Hills 04027,45995,Valid,LL6,82.3,Found,2004.0,,,
5639,Cumulus Hills 04028,45996,Valid,L5,116.6,Found,2004.0,,,
5640,Cumulus Hills 04029,45997,Valid,H6,96.0,Found,2004.0,,,
5641,Cumulus Hills 04030,45998,Valid,L5,117.6,Found,2004.0,,,
5642,Cumulus Hills 04031,45999,Valid,L5,32.4,Found,2004.0,,,
5643,Cumulus Hills 04032,46000,Valid,Mesosiderite,84.9,Found,2004.0,,,
5644,Cumulus Hills 04033,46001,Valid,L5,35.1,Found,2004.0,,,
5646,Cumulus Hills 04034,46002,Valid,L5,14.6,Found,2004.0,,,
5647,Cumulus Hills 04035,46003,Valid,L5,6.7,Found,2004.0,,,
5648,Cumulus Hills 04036,46004,Valid,L5,19.4,Found,2004.0,,,
5649,Cumulus Hills 04037,46005,Valid,H5,56.0,Found,2004.0,,,
5650,Cumulus Hills 04038,46006,Valid,H6,28.0,Found,2004.0,,,
5651,Cumulus Hills 04039,46007,Valid,L5,43.2,Found,2004.0,,,
5652,Cumulus Hills 04040,32506,Valid,L5,30.4,Found,2003.0,,,
5653,Cumulus Hills 04041,32507,Valid,LL5,20.7,Found,2003.0,,,
5654,Cumulus Hills 04042,32508,Valid,LL5,14.6,Found,2003.0,,,
5655,Cumulus Hills 04043,32509,Valid,L6,28.6,Found,2003.0,,,
5656,Cumulus Hills 04044,32510,Valid,Ureilite,20.2,Found,2003.0,,,
5657,Cumulus Hills 04045,32511,Valid,L6,31.6,Found,2003.0,,,
5658,Cumulus Hills 04046,32512,Valid,L5,9.0,Found,2003.0,,,
5659,Cumulus Hills 04047,32513,Valid,LL5,49.5,Found,2003.0,,,
5660,Cumulus Hills 04048,32514,Valid,Ureilite,30.3,Found,2003.0,,,
5661,Cumulus Hills 04049,32515,Valid,Eucrite-unbr,90.2,Found,2003.0,,,
5662,Cumulus Hills 04050,46008,Valid,H6,3908.0,Found,2004.0,,,
5663,Cumulus Hills 04051,46009,Valid,H5,1789.9,Found,2004.0,,,
5664,Cumulus Hills 04052,46010,Valid,LL5,1511.2,Found,2004.0,,,
5665,Cumulus Hills 04053,46011,Valid,L5,1310.6,Found,2004.0,,,
5666,Cumulus Hills 04054,46012,Valid,LL6,1113.6,Found,2004.0,,,
5667,Cumulus Hills 04055,46013,Valid,LL6,1715.0,Found,2004.0,,,
5668,Cumulus Hills 04056,46014,Valid,L6,2291.6,Found,2004.0,,,
5669,Cumulus Hills 04057,46015,Valid,L6,2403.2,Found,2004.0,,,
5670,Cumulus Hills 04058,32516,Valid,LL6,1006.1,Found,2003.0,,,
5671,Cumulus Hills 04059,46016,Valid,L5,1858.0,Found,2004.0,,,
5672,Cumulus Hills 04060,46017,Valid,LL5,320.7,Found,2004.0,,,
5673,Cumulus Hills 04061,32517,Valid,Pallasite,8465.0,Found,2003.0,,,
5674,Cumulus Hills 04062,32518,Valid,Pallasite,15315.0,Found,2003.0,,,
5675,Cumulus Hills 04063,32519,Valid,Pallasite,6188.3,Found,2003.0,,,
5676,Cumulus Hills 04064,32520,Valid,Pallasite,19195.0,Found,2003.0,,,
5677,Cumulus Hills 04065,32521,Valid,Pallasite,5738.0,Found,2003.0,,,
5678,Cumulus Hills 04066,32522,Valid,Pallasite,5877.0,Found,2003.0,,,
5679,Cumulus Hills 04067,32523,Valid,Pallasite,7561.9,Found,2003.0,,,
5680,Cumulus Hills 04068,32524,Valid,Pallasite,20425.0,Found,2003.0,,,
5681,Cumulus Hills 04069,32525,Valid,Pallasite,44700.0,Found,2003.0,,,
5682,Cumulus Hills 04070,32526,Valid,Pallasite,3515.8,Found,2003.0,,,
5683,Cumulus Hills 04071,32527,Valid,Pallasite,2110.1,Found,2003.0,,,
5684,Cumulus Hills 04072,32528,Valid,Pallasite,2312.9,Found,2003.0,,,
5685,Cumulus Hills 04073,32529,Valid,Pallasite,928.2,Found,2003.0,,,
5686,Cumulus Hills 04074,32530,Valid,Pallasite,325.7,Found,2003.0,,,
5687,Cumulus Hills 04075,32531,Valid,Pallasite,9.6,Found,2003.0,,,
5688,Cumulus Hills 04076,32532,Valid,Pallasite,8.3,Found,2003.0,,,
5689,Cumulus Hills 04077,32533,Valid,Pallasite,9625.0,Found,2003.0,,,
5690,Cumulus Hills 04078,32534,Valid,Pallasite,5695.2,Found,2003.0,,,
5691,Cumulus Hills 04079,32535,Valid,Pallasite,12550.0,Found,2003.0,,,
5693,Czestochowa Rakow I,5501,Valid,Iron,,Found,,50.8,19.116670000000003,"(50.800000, 19.116670)"
5694,Czestochowa Rakow II,5502,Valid,Iron,,Found,,50.8,19.116670000000003,"(50.800000, 19.116670)"
5703,D'Angelo Bluff 06001,47364,Valid,L6,26.7,Found,2006.0,,,
5704,D'Angelo Bluff 06002,47365,Valid,LL6,4.4,Found,2006.0,,,
5705,D'Angelo Bluff 06003,47366,Valid,L6,12.5,Found,2006.0,,,
5706,D'Angelo Bluff 06004,45012,Valid,CM2,47.4,Found,2006.0,,,
6307,Dar al Gani 543,6091,Valid,L6,223.0,Found,1997.0,,,
6433,Dar al Gani 670,6217,Valid,Martian (shergottite),1619.0,Found,1999.0,,,
6461,Dar al Gani 698,6245,Valid,LL5,10400.0,Found,1999.0,,,
6752,Dar al Gani 996,6536,Valid,Lunar (anorth),12.31,Found,1999.0,,,
6844,Denman 001,6651,Valid,L5,,Found,1991.0,-30.596940000000004,130.08694,"(-30.596940, 130.086940)"
6850,Densmore (c),6658,Valid,OC,3900.0,Found,1956.0,,,
6876,Derrick Peak A78010,6686,Valid,"Iron, IIAB",,Found,1978.0,-80.06667,156.38333,"(-80.066670, 156.383330)"
7066,Dhofar 1073,6880,Valid,CV3,2.72,Found,,19.33302,54.782169999999994,"(19.333020, 54.782170)"
7528,Dhofar 1738,56476,Valid,L5,853.0,Found,,19.32694,54.906940000000006,"(19.326940, 54.906940)"
7529,Dhofar 1739,56477,Valid,H4,130.0,Found,,19.17694,54.894169999999995,"(19.176940, 54.894170)"
7531,Dhofar 1740,56478,Valid,L6,30.8,Found,,19.164170000000002,54.88166999999999,"(19.164170, 54.881670)"
7532,Dhofar 1741,56479,Valid,H5,66.0,Found,,19.107779999999998,54.82167,"(19.107780, 54.821670)"
7533,Dhofar 1742,56480,Valid,H5,4.4,Found,,19.10889,54.82722,"(19.108890, 54.827220)"
7534,Dhofar 1743,56481,Valid,L4,84.0,Found,,19.06083,54.87944,"(19.060830, 54.879440)"
7535,Dhofar 1744,56482,Valid,H5,1414.0,Found,,19.149720000000002,54.58583,"(19.149720, 54.585830)"
7536,Dhofar 1745,56483,Valid,H5,12.1,Found,,19.078329999999998,54.505559999999996,"(19.078330, 54.505560)"
7537,Dhofar 1746,56484,Valid,H5,19.2,Found,,19.05667,54.5125,"(19.056670, 54.512500)"
7538,Dhofar 1747,56485,Valid,H5,81.0,Found,,19.05556,54.50917,"(19.055560, 54.509170)"
7539,Dhofar 1748,56486,Valid,H5,34.4,Found,,19.07611,54.575559999999996,"(19.076110, 54.575560)"
7540,Dhofar 1749,56487,Valid,H5,35.3,Found,,19.160829999999997,54.75666999999999,"(19.160830, 54.756670)"
7542,Dhofar 1750,56488,Valid,H5,123.0,Found,,19.18639,54.61472,"(19.186390, 54.614720)"
7543,Dhofar 1751,56489,Valid,H5,20.9,Found,,19.2025,54.5875,"(19.202500, 54.587500)"
7544,Dhofar 1752,56490,Valid,H5,88.0,Found,,19.23722,54.745830000000005,"(19.237220, 54.745830)"
8213,Dhofar 910,7613,Valid,Lunar (anorth),142.0,Found,,19.33173,54.7789,"(19.331730, 54.778900)"
8214,Dhofar 911,7614,Valid,Lunar (anorth),194.0,Found,,19.331670000000003,54.776669999999996,"(19.331670, 54.776670)"
8306,Dominion Range 03180,32536,Valid,H5,219.9,Found,2002.0,,,
8307,Dominion Range 03181,34565,Valid,L3,5363.9,Found,2003.0,,,
8308,Dominion Range 03182,7662,Valid,CM2,19.79,Found,2003.0,,,
8309,Dominion Range 03183,7663,Valid,CM2,124.52,Found,2003.0,,,
8310,Dominion Range 03184,7664,Valid,LL5,1.85,Found,2003.0,,,
8311,Dominion Range 03185,32537,Valid,LL5,928.0,Found,2002.0,,,
8312,Dominion Range 03186,32538,Valid,L5,1494.2,Found,2002.0,,,
8313,Dominion Range 03187,32539,Valid,LL5,845.6,Found,2002.0,,,
8314,Dominion Range 03188,32540,Valid,L5,701.4,Found,2002.0,,,
8315,Dominion Range 03189,32541,Valid,L5,1005.4,Found,2002.0,,,
8316,Dominion Range 03190,32542,Valid,L5,504.0,Found,2002.0,,,
8317,Dominion Range 03191,32543,Valid,H5,594.4,Found,2002.0,,,
8318,Dominion Range 03192,32544,Valid,L5,227.4,Found,2002.0,,,
8319,Dominion Range 03193,32545,Valid,H5,298.7,Found,2002.0,,,
8320,Dominion Range 03194,32546,Valid,LL5,213.1,Found,2002.0,,,
8321,Dominion Range 03195,32547,Valid,LL6,225.9,Found,2002.0,,,
8322,Dominion Range 03196,32548,Valid,LL6,142.3,Found,2002.0,,,
8323,Dominion Range 03197,32549,Valid,LL5,188.6,Found,2002.0,,,
8324,Dominion Range 03198,32550,Valid,LL5,261.8,Found,2002.0,,,
8325,Dominion Range 03199,32551,Valid,H5,143.9,Found,2002.0,,,
8326,Dominion Range 03200,32552,Valid,L5,147.8,Found,2002.0,,,
8327,Dominion Range 03201,32553,Valid,L3,114.6,Found,2002.0,,,
8328,Dominion Range 03202,32554,Valid,L5,116.3,Found,2002.0,,,
8329,Dominion Range 03203,32555,Valid,L5,116.2,Found,2002.0,,,
8330,Dominion Range 03204,32556,Valid,L5,93.2,Found,2002.0,,,
8331,Dominion Range 03205,32557,Valid,H5,67.6,Found,2002.0,,,
8332,Dominion Range 03206,32558,Valid,H4,70.2,Found,2002.0,,,
8333,Dominion Range 03207,32559,Valid,H5,65.7,Found,2002.0,,,
8334,Dominion Range 03208,32560,Valid,LL5,110.5,Found,2002.0,,,
8335,Dominion Range 03209,32561,Valid,H5,78.8,Found,2002.0,,,
8336,Dominion Range 03210,32562,Valid,L5,45.8,Found,2002.0,,,
8337,Dominion Range 03211,32563,Valid,L5,79.9,Found,2002.0,,,
8338,Dominion Range 03212,32564,Valid,L5,47.0,Found,2002.0,,,
8339,Dominion Range 03213,32565,Valid,LL5,50.3,Found,2002.0,,,
8340,Dominion Range 03214,32566,Valid,H5,44.4,Found,2002.0,,,
8341,Dominion Range 03215,32567,Valid,H5,17.3,Found,2002.0,,,
8342,Dominion Range 03216,32568,Valid,H5,15.5,Found,2002.0,,,
8343,Dominion Range 03217,32569,Valid,LL5,28.8,Found,2002.0,,,
8344,Dominion Range 03218,32570,Valid,H5,25.1,Found,2002.0,,,
8345,Dominion Range 03219,32571,Valid,H3,36.7,Found,2002.0,,,
8346,Dominion Range 03220,32572,Valid,H6,45.1,Found,2002.0,,,
8347,Dominion Range 03221,32573,Valid,H5,53.9,Found,2002.0,,,
8348,Dominion Range 03222,32574,Valid,H6,26.4,Found,2002.0,,,
8349,Dominion Range 03223,32575,Valid,LL4,7.8,Found,2002.0,,,
8350,Dominion Range 03224,32576,Valid,L5,8.1,Found,2002.0,,,
8351,Dominion Range 03225,32577,Valid,L5,11.6,Found,2002.0,,,
8352,Dominion Range 03226,32578,Valid,L5,4.2,Found,2002.0,,,
8353,Dominion Range 03227,32579,Valid,LL5,3.7,Found,2002.0,,,
8354,Dominion Range 03228,32580,Valid,LL5,5.0,Found,2002.0,,,
8355,Dominion Range 03229,32581,Valid,L5,3.1,Found,2002.0,,,
8356,Dominion Range 03230,32582,Valid,LL5,3.3,Found,2002.0,,,
8357,Dominion Range 03231,32583,Valid,LL6,3.8,Found,2002.0,,,
8358,Dominion Range 03232,32584,Valid,L4,5.9,Found,2002.0,,,
8359,Dominion Range 03233,32585,Valid,L5,4.6,Found,2002.0,,,
8360,Dominion Range 03234,32586,Valid,L5,17.0,Found,2002.0,,,
8361,Dominion Range 03235,32587,Valid,H4,28.7,Found,2002.0,,,
8362,Dominion Range 03236,32588,Valid,H5,21.0,Found,2002.0,,,
8363,Dominion Range 03237,32589,Valid,H6,83.1,Found,2002.0,,,
8364,Dominion Range 03238,32590,Valid,CO3,54.2,Found,2002.0,,,
8365,Dominion Range 03239,32591,Valid,L6,69.5,Found,2002.0,,,
8366,Dominion Range 03240,32592,Valid,LL5,290.9,Found,2002.0,,,
8367,Dominion Range 03241,32593,Valid,LL6,95.0,Found,2002.0,,,
8368,Dominion Range 03242,32594,Valid,H5,67.2,Found,2002.0,,,
8369,Dominion Range 03243,32595,Valid,H5,136.9,Found,2002.0,,,
8370,Dominion Range 03244,32596,Valid,LL5,91.3,Found,2002.0,,,
8371,Dominion Range 03245,32597,Valid,LL5,262.4,Found,2002.0,,,
8372,Dominion Range 03246,32598,Valid,L5,73.09999999999998,Found,2002.0,,,
8373,Dominion Range 03247,32599,Valid,H5,104.6,Found,2002.0,,,
8374,Dominion Range 03248,32600,Valid,LL5,90.0,Found,2002.0,,,
8375,Dominion Range 03249,32601,Valid,LL5,20.5,Found,2002.0,,,
8376,Dominion Range 03250,32602,Valid,LL5,604.3,Found,2002.0,,,
8377,Dominion Range 03251,32603,Valid,LL5,674.8,Found,2002.0,,,
8378,Dominion Range 03252,32604,Valid,H6,404.4,Found,2002.0,,,
8379,Dominion Range 03253,32605,Valid,H5,1201.4,Found,2002.0,,,
8380,Dominion Range 03254,32606,Valid,LL5,548.4,Found,2002.0,,,
8381,Dominion Range 03255,32607,Valid,L5,433.9,Found,2002.0,,,
